awq,station,name,date,time,temp,cond,nlf_cond,spcond,tds,sal,do_pctsat,do_mgl,do_pctEU,psi,ph,ph_mv,orp_mV,orp_raw,depth,baro,chlor_rfu,chlor_mgl,bga_rfu,bga_microL
16012,UL-1,Uncas Lake,5/7/2019,11:00:13,15.03,33.2,41.6,41,27,0.02,113.6,11.45,112.8,0.927,7.41,-36.8,328.9,328.9,0.925,765.4,0.41,1.6,0.56,0.6
16012,UL-1,Uncas Lake,5/7/2019,11:01:15,14.205,32.6,41.7,41.1,27,0.02,111.5,11.43,110.7,2.369,7.38,-35.3,331.5,331.5,1.939,765.3,0.69,2.77,0.79,0.84
16012,UL-1,Uncas Lake,5/7/2019,11:02:11,12.973,32,42.2,41.5,27,0.02,99.2,10.46,98.5,3.75,7.11,-19.4,340.3,340.3,2.91,765.4,0.64,2.57,0.31,0.35
16012,UL-1,Uncas Lake,5/7/2019,11:03:08,11.466,31.2,42.9,42.1,27,0.02,89.3,9.74,88.6,5.252,6.6,9.7,344.8,344.8,3.966,765.4,0.35,1.36,0.12,0.15
16012,UL-1,Uncas Lake,5/7/2019,11:04:09,9.442,30.3,43.8,43,28,0.02,83.2,9.53,82.6,6.598,6.27,28.4,348.1,348.1,4.912,765.4,0.2,0.74,0.09,0.12
16012,UL-1,Uncas Lake,5/7/2019,11:05:15,8.056,29.3,44.1,43.4,28,0.02,76.7,9.08,76.2,8.163,6.15,34.9,350.9,350.9,6.012,765.3,0.14,0.5,0.11,0.14
16012,UL-1,Uncas Lake,5/7/2019,11:06:21,7.465,29,44.3,43.5,28,0.02,74,8.88,73.5,9.432,6.13,36,352.5,352.5,6.904,765.5,0.17,0.64,0.09,0.12
16012,UL-1,Uncas Lake,5/7/2019,11:07:39,7.267,29,44.5,43.8,28,0.02,69.8,8.42,69.3,10.887,6.09,37.8,354.5,354.5,7.927,765.3,0.15,0.53,0.07,0.1
16012,UL-1,Uncas Lake,5/7/2019,11:08:31,7.216,29,44.6,43.9,29,0.02,68.4,8.26,67.9,12.29,6.1,37.7,355.2,355.2,8.914,765.5,0.14,0.49,0.09,0.12
16012,UL-1,Uncas Lake,5/7/2019,11:09:31,7.177,29.1,44.9,44.1,29,0.02,66.8,8.07,66.3,13.642,6.07,39,356.7,356.7,9.864,765.6,0.07,0.21,0.06,0.09
16012,UL-1,Uncas Lake,5/7/2019,11:11:25,6.904,31.2,48.5,47.7,31,0.02,39,4.74,38.7,15.382,6.03,41.2,360.6,360.6,11.088,765.6,0.04,0.08,0.09,0.12
16010,PL-1,Powers Lake,5/7/2019,13:25:32,15.579,29.8,36.9,36.4,24,0.02,104.3,10.39,104,-0.001,6.68,5.5,182.8,182.8,0.271,762.1,0.03,0.06,0.05,0.08
16010,PL-1,Powers Lake,5/7/2019,13:27:08,15.555,29.8,36.9,36.3,24,0.02,104.2,10.38,103.9,0.976,6.67,6,186.8,186.8,0.959,762,0.18,0.67,0.06,0.09
